City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Rikitea,PF,69.31,light rain,-23.12,-134.97,Pension Maro'i
5,Bethel,US,72.0,few clouds,41.37,-73.41,Courtyard by Marriott Danbury
9,Waingapu,ID,74.57,broken clouds,-9.66,120.26,Pondok Wisata Elim
13,Oktyabrskoye,RU,73.0,few clouds,43.06,44.74,Prolesok Mini-hotel
16,Hilo,US,71.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
18,Winnemucca,US,71.6,clear sky,40.97,-117.74,Winners Inn Casino
30,Albany,US,71.01,few clouds,42.6,-73.97,
36,Morgantown,US,71.6,scattered clouds,39.63,-79.96,Morgantown Marriott at Waterfront Place
41,Bambous Virieux,MU,72.0,shower rain,-20.34,57.76,Casa Tia Villa
47,Shatsk,RU,68.61,scattered clouds,54.03,41.71,Turist
48,La Palma,US,69.01,overcast clouds,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
52,Quatre Cocos,MU,72.0,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
53,Flinders,AU,66.0,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
60,Lewiston,US,69.01,few clouds,44.1,-70.21,Hilton Garden Inn Auburn Riverwatch
66,Saint-Joseph,RE,71.6,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
68,Mount Isa,AU,73.4,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
73,Jamestown,US,66.99,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
76,Puerto Ayora,EC,71.6,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
80,Yelan-Kolenovskiy,RU,72.9,clear sky,51.16,41.15,Боярин
87,Saint-Philippe,RE,71.6,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
94,Torbay,CA,66.0,light rain,47.67,-52.73,Gallows Cove
95,Avarua,CK,73.4,scattered clouds,-21.21,-159.78,Paradise Inn
97,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
118,Revda,RU,69.8,scattered clouds,56.8,59.93,Metallurg
124,Atambua,ID,69.66,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
126,Winnipeg,CA,71.01,overcast clouds,49.88,-97.15,"Humphry Inn & Suites, Downtown Winnipeg"
129,Taybad,IR,74.91,clear sky,34.74,60.78,لی پوش jean center
139,Nanga Eboko,CM,74.91,light rain,4.68,12.37,Akila Hotel
154,Raton,US,70.0,clear sky,36.9,-104.44,Holiday Inn Express & Suites Raton
157,Kathmandu,NP,73.4,scattered clouds,27.72,85.32,Hotel Shanker Kathmandu
161,Halifax,CA,73.99,overcast clouds,44.65,-63.57,Hotel Halifax
180,Noumea,NC,69.01,few clouds,-22.28,166.46,Hôtel Le Lagon
182,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
190,Manjacaze,MZ,66.25,broken clouds,-24.71,33.88,Hotel Gani
200,Muncar,ID,72.41,broken clouds,-8.43,114.33,Zaky Homestay
213,Paducah,US,73.4,moderate rain,37.08,-88.6,Holiday Inn Paducah Riverfront
