City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2020-08-27 10:28:07,-46.19,168.86,45.0,72,84,11.01
1,Contamana,PE,2020-08-27 10:28:07,-7.33,-75.02,67.96,75,17,1.36
2,Young,UY,2020-08-27 10:28:08,-32.68,-57.63,55.0,93,100,5.99
3,Albany,US,2020-08-27 10:28:08,42.6,-73.97,60.01,68,99,3.31
4,Dahod,IN,2020-08-27 10:28:08,22.83,74.27,85.23,70,83,11.92
5,Praya,CV,2020-08-27 10:27:05,14.92,-23.51,78.8,94,75,9.17
6,Mende,FR,2020-08-27 10:28:08,44.67,3.5,73.4,35,14,10.29
7,Rikitea,PF,2020-08-27 10:28:08,-23.12,-134.97,67.91,60,24,4.16
8,Carmen,MX,2020-08-27 10:25:09,18.63,-91.83,79.57,83,81,13.04
9,Butaritari,KI,2020-08-27 10:28:08,3.07,172.79,82.96,69,73,5.37
10,Ratnagiri,IN,2020-08-27 10:28:09,16.98,73.3,83.35,72,99,11.07
11,Newport,GB,2020-08-27 10:28:09,51.59,-3.0,59.0,95,70,13.13
12,Doha,QA,2020-08-27 10:28:09,25.29,51.53,106.0,16,1,10.29
13,Barrow,US,2020-08-27 10:28:09,71.29,-156.79,37.4,93,90,18.34
14,Busselton,AU,2020-08-27 10:28:09,-33.65,115.33,63.0,60,5,5.26
15,Cabo San Lucas,MX,2020-08-27 10:25:58,22.89,-109.91,81.0,77,10,1.01
16,Taoudenni,ML,2020-08-27 10:28:10,22.68,-3.98,105.37,17,0,9.69
17,Vestmannaeyjar,IS,2020-08-27 10:28:10,63.44,-20.27,50.0,66,0,8.05
18,Hilo,US,2020-08-27 10:28:10,19.73,-155.09,71.6,83,20,5.82
19,Padang,ID,2020-08-27 10:25:52,-0.95,100.35,83.1,68,90,2.77
20,East London,ZA,2020-08-27 10:28:10,-33.02,27.91,68.0,56,20,14.99
21,Ponta Do Sol,PT,2020-08-27 10:28:10,32.67,-17.1,84.2,48,20,17.22
22,Aykhal,RU,2020-08-27 10:28:10,66.0,111.5,64.76,36,73,7.87
23,Bongandanga,CD,2020-08-27 10:28:10,1.5,21.05,89.64,53,95,2.01
24,Sitka,US,2020-08-27 10:28:10,57.05,-135.33,51.8,87,90,3.36
25,Tuatapere,NZ,2020-08-27 10:28:11,-46.13,167.68,45.0,72,92,11.01
26,Isangel,VU,2020-08-27 10:28:11,-19.55,169.27,71.6,83,75,17.13
27,Ostrovnoy,RU,2020-08-27 10:28:11,68.05,39.51,52.23,94,100,9.22
28,Jamestown,US,2020-08-27 10:26:34,42.1,-79.24,73.0,88,40,9.17
29,Beacon,US,2020-08-27 10:28:11,41.5,-73.97,64.99,82,90,1.86
30,Ushuaia,AR,2020-08-27 10:28:08,-54.8,-68.3,35.6,80,20,3.65
31,Arraial Do Cabo,BR,2020-08-27 10:27:41,-22.97,-42.03,68.0,94,75,3.36
32,Akyab,MM,2020-08-27 10:28:11,20.15,92.9,83.41,81,100,8.14
33,Amapa,BR,2020-08-27 10:28:12,1.0,-52.0,71.2,94,2,1.72
34,Kununurra,AU,2020-08-27 10:28:12,-15.77,128.73,89.6,14,0,8.05
35,Atuona,PF,2020-08-27 10:28:12,-9.8,-139.03,78.12,75,13,22.26
36,Upernavik,GL,2020-08-27 10:28:12,72.79,-56.15,43.27,67,100,6.38
37,Vilhena,BR,2020-08-27 10:28:12,-12.74,-60.15,70.57,61,1,1.66
38,Cape Town,ZA,2020-08-27 10:28:12,-33.93,18.42,64.0,67,40,13.87
39,Chuy,UY,2020-08-27 10:28:12,-33.7,-53.46,59.58,97,99,2.37
40,Havoysund,NO,2020-08-27 10:28:12,71.0,24.66,46.4,87,75,25.28
41,Bluff,NZ,2020-08-27 10:28:13,-46.6,168.33,45.0,72,84,11.01
42,Yamada,JP,2020-08-27 10:28:13,39.47,141.95,78.42,87,2,10.27
43,Hobart,AU,2020-08-27 10:25:24,-42.88,147.33,45.0,75,75,16.11
44,Bilma,NE,2020-08-27 10:28:13,18.69,12.92,94.51,31,67,10.22
45,Nikolskoye,RU,2020-08-27 10:28:13,59.7,30.79,57.2,87,90,4.47
46,Ambon,ID,2020-08-27 10:28:13,-3.7,128.18,77.0,94,40,1.12
47,Gizo,SB,2020-08-27 10:28:13,-8.1,156.84,83.03,77,99,14.99
48,Port Elizabeth,ZA,2020-08-27 10:23:34,-33.92,25.57,62.6,72,20,11.41
49,Touros,BR,2020-08-27 10:28:14,-5.2,-35.46,73.4,83,40,6.93
50,Gurlan,UZ,2020-08-27 10:28:14,41.84,60.39,87.8,17,0,9.17
51,Ancud,CL,2020-08-27 10:28:14,-41.87,-73.82,44.01,100,90,2.24
52,Moerai,PF,2020-08-27 10:28:14,-22.43,-151.33,70.29,73,45,8.05
53,Mahebourg,MU,2020-08-27 10:28:14,-20.41,57.7,77.0,61,40,14.99
54,Olafsvik,IS,2020-08-27 10:28:14,64.89,-23.71,50.74,76,100,9.4
55,Husavik,IS,2020-08-27 10:28:14,66.04,-17.34,48.2,70,75,12.75
56,Fortuna,US,2020-08-27 10:28:14,40.6,-124.16,55.0,100,90,9.17
57,Hermanus,ZA,2020-08-27 10:28:15,-34.42,19.23,64.99,58,0,4.0
58,Westport,US,2020-08-27 10:27:32,41.14,-73.36,66.99,63,90,3.36
59,Avarua,CK,2020-08-27 10:28:15,-21.21,-159.78,71.6,68,0,3.36
60,Thompson,CA,2020-08-27 10:28:15,55.74,-97.86,44.6,100,40,3.36
61,Tiksi,RU,2020-08-27 10:24:06,71.69,128.87,44.15,72,0,5.35
62,Talnakh,RU,2020-08-27 10:28:15,69.49,88.4,68.0,60,9,11.18
63,Saint-Philippe,RE,2020-08-27 10:28:15,-21.36,55.77,80.6,47,44,9.17
64,Vaini,TO,2020-08-27 10:28:15,-21.2,-175.2,71.6,94,75,2.24
65,Punta Arenas,CL,2020-08-27 10:26:43,-53.15,-70.92,35.6,80,7,8.05
66,Manokwari,ID,2020-08-27 10:28:16,-0.87,134.08,82.18,74,57,6.35
67,Guerrero Negro,MX,2020-08-27 10:28:16,27.98,-114.06,71.69,85,0,3.22
68,Hithadhoo,MV,2020-08-27 10:28:16,-0.6,73.08,84.34,67,62,7.05
69,Tuktoyaktuk,CA,2020-08-27 10:28:16,69.45,-133.04,37.13,81,62,11.77
70,Nanortalik,GL,2020-08-27 10:28:16,60.14,-45.24,45.5,78,82,4.63
71,Hami,CN,2020-08-27 10:28:16,42.8,93.45,85.05,13,80,7.38
72,Aklavik,CA,2020-08-27 10:28:16,68.22,-135.01,39.2,93,75,9.17
73,Huarmey,PE,2020-08-27 10:28:17,-10.07,-78.15,60.44,87,72,8.16
74,Qaanaaq,GL,2020-08-27 10:28:17,77.48,-69.36,38.25,88,100,12.19
75,San Policarpo,PH,2020-08-27 10:28:17,12.18,125.51,83.3,78,100,2.17
76,Cidreira,BR,2020-08-27 10:28:17,-30.18,-50.21,60.89,80,67,3.78
77,Kloulklubed,PW,2020-08-27 10:28:17,7.04,134.26,82.4,78,75,6.93
78,Teahupoo,PF,2020-08-27 10:28:17,-17.83,-149.27,75.2,78,100,2.24
79,Georgetown,MY,2020-08-27 10:28:17,5.41,100.34,89.01,66,20,4.7
80,Charters Towers,AU,2020-08-27 10:28:17,-20.1,146.27,64.2,57,27,10.4
81,Lasa,IT,2020-08-27 10:28:18,46.62,10.7,66.2,45,20,6.93
82,Fereydun Kenar,IR,2020-08-27 10:28:18,36.69,52.52,80.6,61,20,9.17
83,Inhambane,MZ,2020-08-27 10:28:18,-23.86,35.38,78.8,69,40,9.17
84,Popova,RU,2020-08-27 10:28:18,42.96,131.72,80.6,61,40,11.18
85,Clyde River,CA,2020-08-27 10:28:18,70.47,-68.59,41.0,80,1,4.7
86,Dumbraveni,RO,2020-08-27 10:28:18,46.23,24.57,79.0,47,75,10.29
87,Bredasdorp,ZA,2020-08-27 10:28:18,-34.53,20.04,64.4,45,0,5.82
88,Sagana,KE,2020-08-27 10:28:18,-0.67,37.2,80.28,44,72,5.03
89,Tasiilaq,GL,2020-08-27 10:28:18,65.61,-37.64,35.6,93,40,6.93
90,Pakhtakoron,TJ,2020-08-27 10:28:19,40.16,68.75,81.07,30,3,5.19
91,Constitucion,CL,2020-08-27 10:28:19,-35.33,-72.42,45.95,88,12,4.09
92,Castro,BR,2020-08-27 10:28:19,-24.79,-50.01,45.73,67,0,1.97
93,New Norfolk,AU,2020-08-27 10:28:19,-42.78,147.06,45.0,85,98,1.99
94,Dunedin,NZ,2020-08-27 10:28:19,-45.87,170.5,43.0,90,66,1.99
95,Fairbanks,US,2020-08-27 10:25:02,64.84,-147.72,53.6,93,90,4.7
96,Iberia,US,2020-08-27 10:28:19,29.95,-91.75,80.6,94,90,31.09
97,Lebu,CL,2020-08-27 10:28:19,-37.62,-73.65,47.21,89,97,8.48
98,Sao Filipe,CV,2020-08-27 10:28:19,14.9,-24.5,77.85,85,82,5.41
99,Kapaa,US,2020-08-27 10:28:20,22.08,-159.32,72.0,78,40,14.99
100,Ribeira Grande,PT,2020-08-27 10:28:20,38.52,-28.7,75.2,94,40,2.24
101,Cherskiy,RU,2020-08-27 10:28:20,68.75,161.3,39.18,92,100,7.49
102,Souillac,MU,2020-08-27 10:28:20,-20.52,57.52,77.0,61,40,14.99
